 ,Area,Mean,Min,Max
1,720,174.557,158,197
2,720,145.846,129,168
3,720,71.146,54,92
4,630,120.375,99,139
5,630,137.441,116,156
6,630,103.908,84,122
7,648,137.79,116,161
8,648,141.426,121,166
9,648,86.48,65,112
10,216,118.731,99,147
11,216,126.417,106,154
12,216,82.806,62,112
13,720,105.4,80,127
14,720,130.001,104,151
15,720,115.822,90,137
16,504,107.069,92,124
17,504,136.49,121,153
18,504,133.026,117,151
19,495,103.275,81,121
20,495,113.766,93,133
21,495,76.42,55,95
22,270,82.785,73,94
23,270,100.467,90,110
24,270,72.459,63,83
25,810,90.572,74,106
26,810,106.242,90,122
27,810,75.525,61,92
28,810,70.491,58,92
29,810,92.146,79,113
30,810,81.58,68,104
31,576,108.101,79,129
32,576,114.116,85,135
33,576,67.67,39,89
34,450,75.867,60,103
35,450,95.149,79,124
36,450,76.849,60,105
37,504,106.548,91,123
38,504,113.556,98,130
39,504,72.228,57,89
40,567,82.122,59,104
41,567,108.84,85,130
42,567,105.032,82,127
43,567,82.122,59,104
44,567,108.84,85,130
45,567,105.032,82,127
